插件ID,主机地址,协议类型,服务端口,漏洞名称,漏洞简介,威胁等级,漏洞描述,整改建议
127907,172.16.1.54,tcp,8081,nginx 1.9.5 < 1.16.1 / 1.17.x < 1.17.3 多个漏洞,远程 Web 服务器受到多个拒绝服务漏洞的影响。,高,"根据其服务器响应标头，安装的 nginx 版本为低于 1.16.1 的 1.9.5，或是低于 1.17.3 的 1.17.x。因此，它受到多种拒绝服务漏洞的影响：

  - HTTP/2 协议堆栈中存在拒绝服务漏洞，这是未正确处理异常情况所致。未经身份验证的远程攻击者可操纵大型数据请求的窗口大小和流优先级，进而利用此漏洞，造成拒绝服务情况。(CVE-2019-9511)

  - HTTP/2 协议堆栈中存在拒绝服务漏洞，这是未正确处理异常情况所致。未经身份验证的远程攻击者可创建多个请求流并持续打乱流的优先级，进而利用此漏洞，造成拒绝服务情况。(CVE-2019-9513)

  - HTTP/2 协议堆栈中存在拒绝服务漏洞，这是未正确处理异常情况所致。未经身份验证的远程攻击者可发送标头名称和标头值长度均为零的标头流，进而利用此漏洞，造成拒绝服务情况。(CVE-2019-9516)",升级版本到 nginx 1.16.1 / 1.17.3 或更高版本。
42873,172.16.1.55,tcp,3389,支持 SSL 中等强度密码组 (SWEET32),远程服务支持使用中等强度 SSL 密码。,高,"远程主机支持使用提供中等强度加密的 SSL 密码。Nessus 将中等强度视为密钥长度为 64 至 112 位的任何加密，或使用 3DES 加密套件的加密。

请注意，如果攻击者位于同一物理网络，其将非常容易避开中等强度加密。",如果可能，请重新配置受影响的应用程序以避免使用中等强度密码。
18405,172.16.1.53,tcp,3389,Microsoft Windows 远程桌面协议服务器中间人弱点,可能获取远程主机的访问权限。,中,"远程版的远程桌面协议服务器（终端服务）容易遭受中间人 (MiTM) 攻击。RDP 客户端在进行加密设置时没有验证服务器的身份。能够拦截来自 RDP 服务器的流量的攻击者可在客户端和服务器未被检测的情况下建立加密。这种性质的 MiTM 攻击将允许攻击者获取传输的任何敏感信息，包括认证凭据。

存在此缺陷是因为 RDP 服务器在 mstlsapi.dll 库中存储了硬编码 RSA 私钥。对此文件（位于任何 Windows 系统上）具有访问权限的任何本地用户都可检索该私钥并将其用于此攻击。","- 如果支持，将 SSL 强制用作此服务的传输层，和/或

- 选择“仅允许从通过网络级别身份验证运行远程桌面的计算机连接”设置（如果可用）。"
26928,172.16.1.53,tcp,3938,SSL 弱密码组支持,远程服务支持使用弱 SSL 密码。,中,"远程主机支持使用提供弱加密的 SSL 密码。

注意：如果攻击者位于同一物理网络，将极其容易利用此问题。",如果可能，请重新配置受影响的应用程序以避免使用弱密码。
51192,172.16.1.53,tcp,1158,SSL 证书无法受到信任,无法信任该服务的 SSL 证书。,中,"无法信任服务器的 X.509 证书。此情况可能以三种不同方式发生，进而中断信任链，具体如下所述：

  - 第一种，服务器发送的证书链的顶端可能不是来自已知的公共证书颁发机构。如果证书链的顶端是未识别的自签名证书，或者如果缺少将证书链的顶端连接到已知的公共证书颁发机构的中间证书，则可能出现这种情况。

  第二种，证书链可能包含在扫描时无效的证书。如果在某个证书的“notBefore”日期之前进行扫描，或者在某个证书的“notAfter”日期之后进行扫描，则可能出现这种情况。

  第三种，证书链可能包含与证书信息不匹配的签名，或者无法验证的签名。可以修复无效签名，方法是请求其发行者对含有无效签名的证书进行重新签名。证书的发行者使用 Nessus 不支持或不能识别的签名算法时，可能导致无法验证签名。

如果远程主机是生产中的公共主机，那么证书链中的任何断裂都可能使用户更难以验证 Web 服务器的真实性和身份。这可能导致更容易对远程主机发动中间人攻击。",购买或生成适用于此服务的适当证书。
51192,172.16.1.53,tcp,3389,SSL 证书无法受到信任,无法信任该服务的 SSL 证书。,中,"无法信任服务器的 X.509 证书。此情况可能以三种不同方式发生，进而中断信任链，具体如下所述：

  - 第一种，服务器发送的证书链的顶端可能不是来自已知的公共证书颁发机构。如果证书链的顶端是未识别的自签名证书，或者如果缺少将证书链的顶端连接到已知的公共证书颁发机构的中间证书，则可能出现这种情况。

  第二种，证书链可能包含在扫描时无效的证书。如果在某个证书的“notBefore”日期之前进行扫描，或者在某个证书的“notAfter”日期之后进行扫描，则可能出现这种情况。

  第三种，证书链可能包含与证书信息不匹配的签名，或者无法验证的签名。可以修复无效签名，方法是请求其发行者对含有无效签名的证书进行重新签名。证书的发行者使用 Nessus 不支持或不能识别的签名算法时，可能导致无法验证签名。

如果远程主机是生产中的公共主机，那么证书链中的任何断裂都可能使用户更难以验证 Web 服务器的真实性和身份。这可能导致更容易对远程主机发动中间人攻击。",购买或生成适用于此服务的适当证书。
51192,172.16.1.53,tcp,3938,SSL 证书无法受到信任,无法信任该服务的 SSL 证书。,中,"无法信任服务器的 X.509 证书。此情况可能以三种不同方式发生，进而中断信任链，具体如下所述：

  - 第一种，服务器发送的证书链的顶端可能不是来自已知的公共证书颁发机构。如果证书链的顶端是未识别的自签名证书，或者如果缺少将证书链的顶端连接到已知的公共证书颁发机构的中间证书，则可能出现这种情况。

  第二种，证书链可能包含在扫描时无效的证书。如果在某个证书的“notBefore”日期之前进行扫描，或者在某个证书的“notAfter”日期之后进行扫描，则可能出现这种情况。

  第三种，证书链可能包含与证书信息不匹配的签名，或者无法验证的签名。可以修复无效签名，方法是请求其发行者对含有无效签名的证书进行重新签名。证书的发行者使用 Nessus 不支持或不能识别的签名算法时，可能导致无法验证签名。

如果远程主机是生产中的公共主机，那么证书链中的任何断裂都可能使用户更难以验证 Web 服务器的真实性和身份。这可能导致更容易对远程主机发动中间人攻击。",购买或生成适用于此服务的适当证书。
57582,172.16.1.53,tcp,1158,SSL 自签名证书,此服务的 SSL 证书链以未公认的自签名证书结尾。,中,"此服务的 X.509 证书链未经公认证书颁发机构签名。如果远程主机为生产环境中的公共主机，这样会使 SSL 的使用无效，因为任何人都可以建立针对远程主机的中间人攻击。 

请注意，此插件不会检查以非自签名、而经未公认证书颁发机构签名的证书结尾的证书链。",购买或生成适用于此服务的适当证书。
57582,172.16.1.53,tcp,3389,SSL 自签名证书,此服务的 SSL 证书链以未公认的自签名证书结尾。,中,"此服务的 X.509 证书链未经公认证书颁发机构签名。如果远程主机为生产环境中的公共主机，这样会使 SSL 的使用无效，因为任何人都可以建立针对远程主机的中间人攻击。 

请注意，此插件不会检查以非自签名、而经未公认证书颁发机构签名的证书结尾的证书链。",购买或生成适用于此服务的适当证书。
57582,172.16.1.53,tcp,3938,SSL 自签名证书,此服务的 SSL 证书链以未公认的自签名证书结尾。,中,"此服务的 X.509 证书链未经公认证书颁发机构签名。如果远程主机为生产环境中的公共主机，这样会使 SSL 的使用无效，因为任何人都可以建立针对远程主机的中间人攻击。 

请注意，此插件不会检查以非自签名、而经未公认证书颁发机构签名的证书结尾的证书链。",购买或生成适用于此服务的适当证书。
57608,172.16.1.53,tcp,445,无需 SMB 签名,远程 SMB 服务器上不需要签名。,中,远程 SMB 服务器上不需要签名。未经认证的远程攻击者可利用此问题来实施针对 SMB 服务器的中间人攻击。,实施主机配置中的消息签名。在 Windows 上，可在策略设置“Microsoft network server: Digitally sign communications (always)”中找到此设置。在 Samba 上，此设置称为“服务器签名”。请参阅“另请参阅”链接了解更多详细信息。
57690,172.16.1.53,tcp,3389,终端服务加密级别为“中”或“低”,远程主机正在使用弱加密。,中,"未将远程“终端服务”服务配置为使用强加密。 

将弱加密用于此服务可能会允许攻击者更轻松地窃听通信并截获屏幕截图和键入内容。","请将 RDP 加密级别更改为以下之一：

3.高危

4.FIPS 遵从"
58453,172.16.1.53,tcp,3389,终端服务并非仅使用网络级身份验证 (NLA),远程终端服务并非仅使用网络级验证 (NLA)。,中,远程终端服务未配置为仅使用网络级身份验证 (NLA)。NLA 使用凭据安全支持提供者 (CredSSP) 协议，通过 TLS/SSL 或 Kerberos 机制执行强服务器身份验证，防止中间人攻击。除了改善身份验证，NLA 还可在完整的 RDP 连接建立之前完成用户身份验证，保护远程计算机不受恶意用户和软件的攻击。,在远程 RDP 服务器上启用网络级验证 (NLA)。这通常在 Windows“系统”设置的“远程”选项卡中设置。
58751,172.16.1.53,tcp,1158,SSL/TLS 协议初始化矢量实现信息泄露漏洞 (BEAST),可以通过启用了 SSL/TLS 的服务来从远程主机获取敏感信息。,中,"SSL 3.0 和 TLS 1.0 存在漏洞，攻击者在拦截来自受影响系统的加密流量时会导致信息泄露。

TLS 1.1、TLS 1.2 和所有不使用 CBC 模式的密码套件不受影响。

此插件尝试使用受影响的 SSL 版本和加密套件来建立 SSL/TLS 远程连接，然后请求返回数据。
如果返回的应用程序数据未通过空记录或单字节记录碎片化，则可能会泄露。

OpenSSL 使用空碎片作为对策，但初始化 OpenSSL 时指定了“SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS”选项的情况除外。

Microsoft 已实现单字节碎片作为对策，且可通过注册表项 HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\SecurityProviders\SCHANNEL\SendExtraRecord 来控制设置。

因此，如果多个应用程序使用相同的 SSL/TLS 实现，其中一些可能会受到影响，另一些则不会，具体取决于是否启用了对策。

请注意，此插件会检测到服务器中所实现 SSLv3/TLSv1 协议中的漏洞。这不会检测利用 HTTPS 客户端侧（即 Internet 浏览器）漏洞的 BEAST 攻击。服务器端的检测不一定意味着服务器容易遭受 BEAST 攻击，因为该攻击利用客户端中的漏洞，并且 SSL/TLS 客户端和服务器可独立采用拆分记录对策。","配置 SSL/TLS 服务器，使其仅使用 TLS 1.1 或 TLS 1.2（如支持）。
配置 SSL/TLS 服务器，使其仅支持不使用块密码的密码套件。如果有修补程序，则安装。

请注意，安装了 MS12-006 安全更新后，可能需要进行额外的配置才能启用拆分记录对策。有关详情，请参阅 Microsoft KB2643584。"
58751,172.16.1.53,tcp,3938,SSL/TLS 协议初始化矢量实现信息泄露漏洞 (BEAST),可以通过启用了 SSL/TLS 的服务来从远程主机获取敏感信息。,中,"SSL 3.0 和 TLS 1.0 存在漏洞，攻击者在拦截来自受影响系统的加密流量时会导致信息泄露。

TLS 1.1、TLS 1.2 和所有不使用 CBC 模式的密码套件不受影响。

此插件尝试使用受影响的 SSL 版本和加密套件来建立 SSL/TLS 远程连接，然后请求返回数据。
如果返回的应用程序数据未通过空记录或单字节记录碎片化，则可能会泄露。

OpenSSL 使用空碎片作为对策，但初始化 OpenSSL 时指定了“SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS”选项的情况除外。

Microsoft 已实现单字节碎片作为对策，且可通过注册表项 HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\SecurityProviders\SCHANNEL\SendExtraRecord 来控制设置。

因此，如果多个应用程序使用相同的 SSL/TLS 实现，其中一些可能会受到影响，另一些则不会，具体取决于是否启用了对策。

请注意，此插件会检测到服务器中所实现 SSLv3/TLSv1 协议中的漏洞。这不会检测利用 HTTPS 客户端侧（即 Internet 浏览器）漏洞的 BEAST 攻击。服务器端的检测不一定意味着服务器容易遭受 BEAST 攻击，因为该攻击利用客户端中的漏洞，并且 SSL/TLS 客户端和服务器可独立采用拆分记录对策。","配置 SSL/TLS 服务器，使其仅使用 TLS 1.1 或 TLS 1.2（如支持）。
配置 SSL/TLS 服务器，使其仅支持不使用块密码的密码套件。如果有修补程序，则安装。

请注意，安装了 MS12-006 安全更新后，可能需要进行额外的配置才能启用拆分记录对策。有关详情，请参阅 Microsoft KB2643584。"
65821,172.16.1.53,tcp,1158,SSL RC4 加密套件受支持 (Bar Mitzvah),远程服务支持使用 RC4 密码。,中,"远程主机支持在一个或多个密码组中使用 RC4。
RC4 密码在伪随机字节流的生成中产生缺陷，因此流中引入了各种各样的小偏差，降低了其随机性。

如果反复加密明文（例如 HTTP cookie），并且攻击者能够获得许多（即上千万）密文，则该攻击者可能会推测出明文。",如果可能，请重新配置受影响的应用程序以避免使用 RC4 密码。可以考虑在浏览器和 Web 服务器的支持下将 TLS 1.2 用于 AES-GCM 组。
65821,172.16.1.53,tcp,3389,SSL RC4 加密套件受支持 (Bar Mitzvah),远程服务支持使用 RC4 密码。,中,"远程主机支持在一个或多个密码组中使用 RC4。
RC4 密码在伪随机字节流的生成中产生缺陷，因此流中引入了各种各样的小偏差，降低了其随机性。

如果反复加密明文（例如 HTTP cookie），并且攻击者能够获得许多（即上千万）密文，则该攻击者可能会推测出明文。",如果可能，请重新配置受影响的应用程序以避免使用 RC4 密码。可以考虑在浏览器和 Web 服务器的支持下将 TLS 1.2 用于 AES-GCM 组。
65821,172.16.1.53,tcp,3938,SSL RC4 加密套件受支持 (Bar Mitzvah),远程服务支持使用 RC4 密码。,中,"远程主机支持在一个或多个密码组中使用 RC4。
RC4 密码在伪随机字节流的生成中产生缺陷，因此流中引入了各种各样的小偏差，降低了其随机性。

如果反复加密明文（例如 HTTP cookie），并且攻击者能够获得许多（即上千万）密文，则该攻击者可能会推测出明文。",如果可能，请重新配置受影响的应用程序以避免使用 RC4 密码。可以考虑在浏览器和 Web 服务器的支持下将 TLS 1.2 用于 AES-GCM 组。
78479,172.16.1.53,tcp,1158,SSLv3 Padding Oracle 降级旧式加密漏洞 (POODLE),从具有基于 SSL/TLS 的服务的远程主机获取敏感信息是可能的。,中,"远程主机受到中间人 (MitM) 信息泄露漏洞的影响，也称 POODLE。该漏洞是由于 SSL 3.0 解密使用密码块链接 (CBC) 模式中的块密码进行加密的消息时采用的处理填充字节的方式所引起。
如果 MitM 攻击者能够强制受害的应用程序通过新创建的 SSL 3.0 连接不断发送同样的数据，就能将选中的加密文本字节在 256 次内解密。

只要客户端和服务都支持 SSLv3，链接就可被“回滚”至 SSLv3，即使客户端和服务支持 TLSv1 或更新版。

The TLS Fallback SCSV 机制可在不影响旧客户端的同时预防“版本回滚”攻击，然而，它可能仅当客户端和服务支持该机制时保护连接。不能立即禁用 SSLv3 的站点应当启用该机制。

这是存在于 SSLv3 规范的错误，不针对任何特定的 SSL 实现。禁用 SSLv3 是唯一能完全消除该漏洞的方法。","禁用 SSLv3。

必须支持 SSLv3 的服务需要启用 TLS Fallback SCSV 机制直至 SSLv3 可被禁用。"
78479,172.16.1.53,tcp,3938,SSLv3 Padding Oracle 降级旧式加密漏洞 (POODLE),从具有基于 SSL/TLS 的服务的远程主机获取敏感信息是可能的。,中,"远程主机受到中间人 (MitM) 信息泄露漏洞的影响，也称 POODLE。该漏洞是由于 SSL 3.0 解密使用密码块链接 (CBC) 模式中的块密码进行加密的消息时采用的处理填充字节的方式所引起。
如果 MitM 攻击者能够强制受害的应用程序通过新创建的 SSL 3.0 连接不断发送同样的数据，就能将选中的加密文本字节在 256 次内解密。

只要客户端和服务都支持 SSLv3，链接就可被“回滚”至 SSLv3，即使客户端和服务支持 TLSv1 或更新版。

The TLS Fallback SCSV 机制可在不影响旧客户端的同时预防“版本回滚”攻击，然而，它可能仅当客户端和服务支持该机制时保护连接。不能立即禁用 SSLv3 的站点应当启用该机制。

这是存在于 SSLv3 规范的错误，不针对任何特定的 SSL 实现。禁用 SSLv3 是唯一能完全消除该漏洞的方法。","禁用 SSLv3。

必须支持 SSLv3 的服务需要启用 TLS Fallback SCSV 机制直至 SSLv3 可被禁用。"
81606,172.16.1.53,tcp,3938,SSL/TLS EXPORT_RSA <=支持 512 位密码组 (FREAK),远程主机支持一组弱密码。,中,"远程主机支持 EXPORT_RSA 密钥小于或等于 512 位的密码组。攻击者可在短时间内分解 512 位 RSA 模块。

中间人攻击可能使用 EXPORT_RSA 密码组（例如 CVE-2015-0204）降级会话。因此建议删除对弱密码组的支持。",重新配置服务以删除对 EXPORT_RSA 密码组的支持。
85582,172.16.1.53,tcp,1158,Web 应用程序可能容易遭受点击劫持攻击。,远程 Web 服务器可能无法缓解特定类型的 Web 应用程序漏洞。,中,"远程 Web 服务器未设置所有内容响应中的 X-Frame-Options 响应头或 Content-Security-Policy“frame-ancestors”响应头。这可能将站点暴露给点击劫持或 UI redress 攻击，其中攻击者可诱骗用户点击不同于预期的易受攻击的页面区域。这可导致用户执行欺骗性或恶意交易。

X-Frame-Options 已被 Microsoft 推荐为缓解点击劫持攻击的方法，目前受所有主要浏览器供应商支持。

Content-Security-Policy (CSP) 已被 W3C Web 应用安全工作组推荐为缓解点击劫持攻击和其他攻击的方法，受到越来越多主要浏览器供应商的支持。“frame-ancestors”策略指令限制哪些来源可对受保护资源进行嵌入。

请注意，X-Frame-Options 和 Content-Security-Policy 响应头虽然并非缓解点击劫持仅有的两种方法，但它们是目前能够被自动检测的最可靠的方法。因此，如果部署了其他缓解策略（如 frame-busting JavaScript）或页面未执行任何安全敏感交易，则此插件可能产生误报。","返回 X-Frame-Options 或 Content-Security-Policy（使用 “frame-ancestors”指令）HTTP 标头及页面的响应。
这防止了在使用帧或 iframe HTML 标记时页面内容被其他站点渲染。"
104743,172.16.1.53,tcp,1158,TLS 1.0 版协议检测,远程服务利用旧版 TLS 加密流量。,中,"远程服务接受使用 TLS 1.0 加密的连接。TLS 1.0 具有若干加密设计缺陷。现如今的 TLS 1.0 实施缓解了这些问题，不过应尽可能使用诸如 1.2 和 1.3 等较新的 TLS 版本，其专为应对这些缺陷而设计。

自 2020 年 3 月 31 日起，主流 Web 浏览器和供应商将无法再正常使用未启用 TLS 1.2 及更高版本的端点。

PCI DSS v3.2 要求截至 2018 年 6 月 30 日全面禁用 TLS 1.0，除非是确认未受到任何已知缺陷影响的 POS POI 终端（及其连接的 SSL/TLS 端点）。",启用 TLS 1.2 和 1.3 支持，禁用 TLS 1.0 支持。
104743,172.16.1.53,tcp,3389,TLS 1.0 版协议检测,远程服务利用旧版 TLS 加密流量。,中,"远程服务接受使用 TLS 1.0 加密的连接。TLS 1.0 具有若干加密设计缺陷。现如今的 TLS 1.0 实施缓解了这些问题，不过应尽可能使用诸如 1.2 和 1.3 等较新的 TLS 版本，其专为应对这些缺陷而设计。

自 2020 年 3 月 31 日起，主流 Web 浏览器和供应商将无法再正常使用未启用 TLS 1.2 及更高版本的端点。

PCI DSS v3.2 要求截至 2018 年 6 月 30 日全面禁用 TLS 1.0，除非是确认未受到任何已知缺陷影响的 POS POI 终端（及其连接的 SSL/TLS 端点）。",启用 TLS 1.2 和 1.3 支持，禁用 TLS 1.0 支持。
104743,172.16.1.53,tcp,3938,TLS 1.0 版协议检测,远程服务利用旧版 TLS 加密流量。,中,"远程服务接受使用 TLS 1.0 加密的连接。TLS 1.0 具有若干加密设计缺陷。现如今的 TLS 1.0 实施缓解了这些问题，不过应尽可能使用诸如 1.2 和 1.3 等较新的 TLS 版本，其专为应对这些缺陷而设计。

自 2020 年 3 月 31 日起，主流 Web 浏览器和供应商将无法再正常使用未启用 TLS 1.2 及更高版本的端点。

PCI DSS v3.2 要求截至 2018 年 6 月 30 日全面禁用 TLS 1.0，除非是确认未受到任何已知缺陷影响的 POS POI 终端（及其连接的 SSL/TLS 端点）。",启用 TLS 1.2 和 1.3 支持，禁用 TLS 1.0 支持。
18405,172.16.1.54,tcp,3389,Microsoft Windows 远程桌面协议服务器中间人弱点,可能获取远程主机的访问权限。,中,"远程版的远程桌面协议服务器（终端服务）容易遭受中间人 (MiTM) 攻击。RDP 客户端在进行加密设置时没有验证服务器的身份。能够拦截来自 RDP 服务器的流量的攻击者可在客户端和服务器未被检测的情况下建立加密。这种性质的 MiTM 攻击将允许攻击者获取传输的任何敏感信息，包括认证凭据。

存在此缺陷是因为 RDP 服务器在 mstlsapi.dll 库中存储了硬编码 RSA 私钥。对此文件（位于任何 Windows 系统上）具有访问权限的任何本地用户都可检索该私钥并将其用于此攻击。","- 如果支持，将 SSL 强制用作此服务的传输层，和/或

- 选择“仅允许从通过网络级别身份验证运行远程桌面的计算机连接”设置（如果可用）。"
51192,172.16.1.54,tcp,3389,SSL 证书无法受到信任,无法信任该服务的 SSL 证书。,中,"无法信任服务器的 X.509 证书。此情况可能以三种不同方式发生，进而中断信任链，具体如下所述：

  - 第一种，服务器发送的证书链的顶端可能不是来自已知的公共证书颁发机构。如果证书链的顶端是未识别的自签名证书，或者如果缺少将证书链的顶端连接到已知的公共证书颁发机构的中间证书，则可能出现这种情况。

  第二种，证书链可能包含在扫描时无效的证书。如果在某个证书的“notBefore”日期之前进行扫描，或者在某个证书的“notAfter”日期之后进行扫描，则可能出现这种情况。

  第三种，证书链可能包含与证书信息不匹配的签名，或者无法验证的签名。可以修复无效签名，方法是请求其发行者对含有无效签名的证书进行重新签名。证书的发行者使用 Nessus 不支持或不能识别的签名算法时，可能导致无法验证签名。

如果远程主机是生产中的公共主机，那么证书链中的任何断裂都可能使用户更难以验证 Web 服务器的真实性和身份。这可能导致更容易对远程主机发动中间人攻击。",购买或生成适用于此服务的适当证书。
57582,172.16.1.54,tcp,3389,SSL 自签名证书,此服务的 SSL 证书链以未公认的自签名证书结尾。,中,"此服务的 X.509 证书链未经公认证书颁发机构签名。如果远程主机为生产环境中的公共主机，这样会使 SSL 的使用无效，因为任何人都可以建立针对远程主机的中间人攻击。 

请注意，此插件不会检查以非自签名、而经未公认证书颁发机构签名的证书结尾的证书链。",购买或生成适用于此服务的适当证书。
57608,172.16.1.54,tcp,445,无需 SMB 签名,远程 SMB 服务器上不需要签名。,中,远程 SMB 服务器上不需要签名。未经认证的远程攻击者可利用此问题来实施针对 SMB 服务器的中间人攻击。,实施主机配置中的消息签名。在 Windows 上，可在策略设置“Microsoft network server: Digitally sign communications (always)”中找到此设置。在 Samba 上，此设置称为“服务器签名”。请参阅“另请参阅”链接了解更多详细信息。
57690,172.16.1.54,tcp,3389,终端服务加密级别为“中”或“低”,远程主机正在使用弱加密。,中,"未将远程“终端服务”服务配置为使用强加密。 

将弱加密用于此服务可能会允许攻击者更轻松地窃听通信并截获屏幕截图和键入内容。","请将 RDP 加密级别更改为以下之一：

3.高危

4.FIPS 遵从"
